headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,cautious,"注意深い,用心深い,慎重な",/ˈkɔːʃəs/,6712,She is always cautious when crossing the road.,彼女は道路を渡る時にいつも注意深いです。,2996948
,,,actively,"活発に, 積極的に",/ˈæk.tɪv.li/,440,She is actively participating in the community service.,彼女は積極的に地域奉仕活動に参加しています。,2995739
,,,purse,〈C〉《米》(婦人用) ハンドバッグ / 財布,/pɜːrs/,34165,She carried a small purse with her.,彼女は小さなハンドバッグを持っていました。,3003377
,,,adjacent,"近接の,隣接している",/əˈdʒeɪsənt/,518,The two buildings are adjacent to each other.,その二つの建物は互いに近接しています。,2995771
,,,briefcase,〈C〉書類かばん,/briːfkeɪs/,5218,I left my briefcase at the office.,私はオフィスに私の書類かばんを置き忘れました。,3009010
,,,allergy,"アレルギー,異常過敏症",/ˈælɚdʒi/,1135,I have an allergy to peanuts.,私はピーナッツアレルギーです。,2995953
,,,pie,"〈C〉パイ, パイ状のもの / 〈U〉《米》《the ~》(分配する前の利益などの)総額 / 《米・俗語》簡単な仕事",/paɪ/,31819,I love eating pie.,私はパイを食べるのが大好きです。,3002765
,,,rose,〈C〉バラの花 / バラの木 / 〈U〉バラ色,/ɹoʊz/,36487,I bought a rose for her.,彼女のためにバラを買った。,1624455
,,,spill,"〈他〉〈液体・粉など〉をこぼす  / 〈自〉〈液体・粉などが〉こぼれる / 【名/C】こぼれること, こぼすこと / こぼれたもの",/spɪl/,40314,Be careful not to spill your drink.,飲み物をこぼさないように気をつけてください。,3005003
,,,donut,【名/C】ドーナツ / ドーナツ状のもの,/'doʊnʌt/,12660,I love eating donuts.,私はドーナツを食べるのが大好きです。,2997808
,,,bakery,"パン製造所,パン屋",/ˈbeɪkəri/,3094,I bought a delicious loaf of bread from the local bakery.,私は地元のパン製造所から美味しいパンを買いました。,2996495
,,,meantime,【副】その間に / その同じ時に / 一方では / 【名】《the ~》合間,/miːn.taɪm/,26236,"In the meantime, I will finish my work.",その間に、私は仕事を終わらせます。,3001306
,,,toll,"〈C〉(橋・道路などの)使用料金, 通行料金 / (長距離電話などの) 料金, サービス料 / 《通例単数形で》(災難などの)被害の程度, 犠牲者数",/təʊl/,43610,The toll for using the highway was surprisingly high.,高速道路の使用料金が驚くほど高かった。,6510304
,,,nomination,"〈U〉指名, 任命 / 指名権, 任命権 / 《...を...に》 指名すること, 任命すること 《of ... to, as, for ...》",/nɑmɪˈneɪʃən/,28751,Her nomination for the award was well-deserved.,彼女の受賞のノミネートは当然だった。,3001966
,,,behalf,味方 / 利益 / 《on ~ of A》 Aの代理で,/bɪˈhɑːf/,3736,I am speaking on behalf of my friend.,私は友人の味方として話しています。,2996643
,,,biology,生物学,/baɪˈɑlədʒi/,4154,I am studying biology to understand the complexity of life.,私は生命の複雑さを理解するために生物学を勉強しています。,2996750
,,,birthday,誕生日,/ˈbɜːrθ.deɪ/,4201,My brother's birthday is on the third of June.,私の兄の誕生日は6月3日です。,1624003
,,,pillow,まくら,/ˈpɪloʊ/,31898,I like to sleep with a soft pillow.,私は柔らかいまくらで寝るのが好きです。,3002784
,,,carpenter,"【名/C】大工, 木工職人 / 【動/自】大工仕事をする / 【動/他】を大工仕事でつくる",/ˈkɑːrpəntər/,6446,The carpenter built a beautiful wooden table.,大工は美しい木製のテーブルを作りました。,3009273
,,,projector,"計画者,発案者  / 投光機,投影機;映写機",/prəˈdʒɛktər/,33589,The projector is set up in the conference room.,プロジェクターは会議室に設置されています。,1649774
,,,chairperson,議長,/ˈtʃɛərˌpɜrsən/,6967,The chairperson called the meeting to order.,議長が会議を開会した。,3009324
,,,storeroom,"【名/C】貯蔵室, 収納庫、納戸(なんど)",/ˈstɔːr.ruːm/,41154,I need to organize the storeroom.,倉庫を整理する必要があります。,3005140
,,,wheelchair,〈C〉車椅子,/'wiːltʃɛər/,47183,She uses a wheelchair to get around.,彼女は車椅子を使って移動しています。,1657574
,,,supermarket,スーパーマーケット(食料品や家庭用品などを売るセルフサービス式の大型小売店),/suːpərˌmɑːrkɪt/,41851,I went to the supermarket to buy some food.,私は食べ物を買うためにスーパーマーケットに行きました。,1623842
,,,thunderstorm,"大雷雨,雷を伴ったあらし",/ˈθʌndərˌstɔrm/,43294,I was scared when the thunderstorm hit last night.,昨夜、大雷雨が襲ってきた時、私は怖かった。,3005810
,,,salespeople,"【名/C】店員,販売員,外交員《複数》",/seɪlzˈpipəl/,48373,Salespeople play a crucial role in driving revenue for the company.,営業担当者は、会社の収益を牽引する重要な役割を果たしています。,1657576
,,,toiletry,"【名/C】洗面化粧品(オーデコロン・石けんなど),  洗面道具, トイレタリー",/tɔɪlətri/,43595,I packed my toiletries for the trip.,旅行用に洗面用品を詰めました。,1657575
,,,website,"〈C〉ウェブサイト,ホームページ",/ˈwɛb.saɪt/,48379,I found a great website for learning languages.,言語学習のための素晴らしいウェブサイトを見つけました。,3007029
,,,rainy,"雨の,雨降りの;雨の多い  / 雨にぬれた;雨模様の",/ˈreɪni/,34700,"The sky was a gloomy, rainy day.",空は陰気な、雨の日でした。,1623707
,,,considerably,"かなり,相当に,非常に",/kənˈsɪdərəbli/,9068,The price of the car has increased considerably.,車の価格はかなり上がりました。,2997017
,,,cooler,"冷却装置;冷却器,クーラー・清涼飲料  / 《俗》《the cooler》留置場",/'kuːlər/,9365,I need to buy a new cooler for my computer.,私はコンピューター用の新しい冷却装置を買う必要があります。,2997035
,,,cordless,"ひものない;(電気器具が)コード(線)不要の,(特に)電池式の",/ˈkɔːrdləs/,9460,I bought a cordless vacuum cleaner for easy cleaning.,簡単な掃除のために、コードレスの掃除機を買いました。,1642189
,,,correctly,"正しく,正確に;正確に言えば",/kəˈrɛktli/,9551,Please answer the question correctly.,質問に正しく答えてください。,3009924
,,,librarian,"司書,図書館員,図書係",/lʌɪˈbrɛə.ri.ən/,24398,The librarian helped me find a book.,司書は私が本を見つけるのを手伝ってくれました。,3000839
,,,daytime,昼間,/deɪtaɪm/,10820,I prefer to work during the daytime.,私は昼間に働くことを好みます。,2997308
,,,dentist,"歯科医,歯医者",/dɛn.tɪst/,11393,I have an appointment with my dentist tomorrow.,明日、私は歯科医との予約があります。,2997463
,,,departmental,"【形】部門（別）の；各部（局,省）の",/dɪˈpɑːrtməntəl/,11416,The company has a departmental structure with different divisions.,会社は異なる部門を持つ部門別の構造を持っています。,1661617
,,,seller,"売る人,売り手  / 《good,bad,poorなどの形容詞と共に》売れるもの",/'sɛlər/,38017,The seller offered a discount on the product.,売り手はその商品に割引を提供しました。,3004321
,,,shipment,"〈U〉船積み,積み込み,荷送り  / 〈C〉積み荷;積み荷量",/ˈʃɪpmənt/,38563,The shipment arrived at the port on time.,船積みは予定通り港に到着しました。,3004461
,,,picnic,"ピクニック,(野外の食事を伴う)遠足  / 《話》《通例否定文で単数形で用いて》楽な仕事,楽しい時",/ˈpɪknɪk/,31803,We had a picnic in the park.,公園でピクニックをした。,1623657
,,,silently,静かに  / 黙って,/'saɪləntli/,38932,"She sat silently in the corner, lost in her own thoughts.",彼女は静かに角に座って、自分の考えにふけっていた。,3004566
,,,enjoyable,"おもしろい,愉快な,楽しめる",/ɪnˈdʒɔɪəbəl/,14046,The party was enjoyable.,パーティーは楽しかったです。,2998162
,,,escalator,エスカレーター[もと商標名],/ˈɛskəleɪtər/,14341,I took the escalator to the second floor.,私はエスカレーターで2階に行きました。,2998244
,,,spam,スパム(コンビーフに似た豚肉かん詰の商標名：アメリカ軍に占領された歴史の長い場所、例えば沖縄・ハワイ・フィリピンなど、で郷土料理に採り入れられることが多い)・迷惑メール・迷惑メールを送る,/spæm/,40137,I received a lot of spam emails today.,今日はたくさんのスパムメールを受け取りました。,1659557
,,,pill,"丸薬;《the pill》《話》ピル(経口避妊薬)  / (耐えなければならない)不快なこと,苦しいこと  / 《通例単数形で》《俗》いやなやつ",/pɪl/,31890,I take a pill every morning.,私は毎朝丸薬を飲みます。,3002778
,,,finalize,"〈計画など〉‘を'完成する,仕上げる",/faɪnəˌlaɪz/,15741,I need to finalize the project by the end of the week.,週末までにプロジェクトを完成させる必要があります。,1657869
,,,firefighter,"〈C〉消防隊員, 消防士（[[fireman]]）",/ˈfaɪərˌfaɪtər/,15836,The firefighter bravely entered the burning building to rescue the trapped residents.,消防士は勇敢に燃えている建物に入り、閉じ込められた住民を救出しました。,2998659
,,,stripe,"筋,しま  / 《複数形で》(軍服のそでにつける)記章,そで章(階級・勤続年数などを表す)  / むち打ち",/stɹaɪp/,41331,The national flag of the USA is called the Stars and Stripes.,合衆国の国旗は星条旗と呼ばれる。,87213
,,,flexibility,"柔軟性,しなやかさ;適応性,融通性",/flɛksəˈbɪləti/,16122,Flexibility is important in adapting to new situations.,新しい状況に適応するためには柔軟性が重要です。,2998727
,,,flu,"インフルエンザ,流感",/flʌ/,16245,I caught the flu and had to stay home for a week.,私はインフルエンザにかかり、1週間家にいなければなりませんでした。,2998751
,,,subway,"《米》地下鉄(《英》underground, tube)  / 地下道(underpass)",/ˈsʌbˌweɪ/,41599,I took the subway to work.,私は仕事への地下鉄を乗りました。,1623980
,,,sunshine,"日光  / 日なた  / (物事の)明るさ,陽気,快活",/sʌnʃaɪn/,41798,The skies were full of sunshine.,空は太陽で輝いていた。,1623840
,,,housekeeper,主婦  / 家政婦;(ホテルなどの)掃除婦がしら,/ˈhaʊskiːpər/,20511,The housekeeper takes care of all the household chores.,主婦は家事全般を担当します。,2999845
,,,tempt,"〈他〉(無分別・悪事などに)〈人〉を誘惑する, をそそのかす / ...をそそる, ...の気を引く",/tɛmpt/,42806,The sunshine tempted people out.,太陽の日差しに誘われて人々が外出した。,53929
,,,hallway,"【名/C】《米》(建物内の) 廊下, 通路 / 《英》玄関",/hɔːlweɪ/,19084,I walked down the hallway to get to my classroom.,私は教室に行くために廊下を歩きました。,1635707
,,,translation,"〈U〉訳すこと,翻訳  / 〈C〉翻訳されたもの",/trænˈsleɪʃən/,44026,Translation is the process of converting text from one language to another.,訳すことは、テキストを一つの言語から別の言語に変換するプロセスです。,3005916
,,,hardworking,"勤勉な, 働き者の",/hɑːdˈwɜːrkɪŋ/,19270,She is a hardworking student.,彼女は勤勉な学生です。,2999513
,,,headphone,ヘッドフォン(電話・ラジオなどの耳に当てる受信器),/ˈhɛdfoʊn/,19474,I forgot to bring my headphones to the gym.,ジムにヘッドフォンを持ってくるのを忘れてしまった。,2999580
,,,tropical,"熱帯の,熱帯性の,熱帯産の  / 酷暑の",/'tɹɒpɪkəl/,44336,I love exploring tropical destinations.,私は熱帯地域を探検するのが大好きです。,3005984
,,,efficiently,"【副】効率的に,能率的に",/ɪˈfɪʃəntli/,48340,He completed the task efficiently.,彼は効率的に仕事を完了した。,3007001
,,,homeless,家のない,/həʊmləs/,20193,She saw a homeless man sleeping on the park bench.,彼女は公園のベンチで寝ているホームレスの男性を見ました。,2999756
,,,unlimited,"(空間的に)限りない,果てしない(boundless)  / 無制限の,無条件の  / 過度の,非常な(excessive)",/ʌnˈlɪmɪtɪd/,45300,The possibilities are unlimited.,可能性は限りないです。,1649366
,,,usage,"〈U〉(物の)用い方, 用法 / 〈U〉〈C〉(言語の)慣用, 語法",/ˈjuːsɪdʒ/,45676,I need help with the usage of this software.,このソフトウェアの使い方について助けが必要です。,3006317
,,,vanilla,〈C〉熱帯産のラン科のつる植物  / (またvanilla bean)〈C〉その実  / 〈U〉バニラエッセンス(その実から採る香料;アイスクリームやケーキなどに入る),/vəˈnɪlə/,45846,I love the taste of vanilla ice cream.,私はバニラアイスクリームの味が大好きです。,1641765
,,,vegetarian,"菜食主義者(道徳上または健康上の理由で魚・肉を食べず,野菜だけを食べる人)",/vɛdʒəˈtɛəriən/,45934,I am a vegetarian and I don't eat fish or meat for moral or health reasons.,私はベジタリアンで、道徳上または健康上の理由で魚や肉を食べません。,3006380
,,,infer,"〈他〉を推論する, を推量する",/ɪnˈfɜr/,21781,"From the evidence presented, we can infer that she is guilty.",提示された証拠から、彼女が有罪であると推測することができます。,3000170
,,,visa,"(旅券の)査証,ビザ,入国出国許可",/'viːzə/,46311,I need to apply for a visa to visit Japan.,日本を訪れるためにビザを申請する必要があります。,3006477
,,,volleyball,"〈U〉バレーボール,排球  / 〈C〉バレーボール用のボール",/vɑliˌbɔl/,46436,I played volleyball with my friends today.,今日は友達とバレーボールをしました。,1623931
,,,incoming,入って来る  / 次に来る,/ˈɪnkʌmɪŋ/,21439,I saw an incoming message on my phone.,携帯電話に着信メッセージが届いたのを見ました。,1639383
,,,wallet,"(折りたたみ式で通例皮製の)紙入れ,財布  / 《古》(乞食・巡礼などの)がっさい袋,ずだ袋",/'wɑːlɪt/,46627,I always keep my money and cards in my wallet.,私はいつもお金やカードを財布に入れています。,3006540
,,,wireless,"〈U〉無線,無線電信  / 〈U〉《the wireless》《英》ラジオ[放送,番組];〈C〉ラジオ[受信機]  / 無線[電信,電話,電報]の  / 《英》ラジオの",/'waɪərlɛs/,47608,I love using wireless headphones while working out.,私は運動中に無線ヘッドフォンを使うのが好きです。,1630547
,,,yearly,"年1回の;毎年の  / 1年間の,年間の  / 年1回,毎年",/jɪrli/,48093,I go on a yearly vacation with my family.,私は家族と年に一度の休暇に行きます。,3006931
,,,lifeguard,"(海水浴場などの)看視人,見張り人",/ˈlaɪfgɑːrd/,24456,The lifeguard kept a close watch on the swimmers at the beach.,海水浴場で、看視人は泳ぐ人々を注意深く見守った。,3000851
,,,fleet,"速い(fast, swift) / すばやく動く",/fliːt/,16101,The fleet of ships sailed across the ocean at a fast speed.,船団は高速で海を渡っていった。,1635159
,,,microscope,顕微鏡,/ˈmaɪkɹəˌskoʊp/,26687,I used a microscope to examine the cells.,私は顕微鏡を使って細胞を観察しました。,3001422
,,,mosquito,カ(蚊),/məˈskitoʊ/,27588,I got bitten by a mosquito last night.,昨晩、蚊に刺されました。,1656892
,,,noisy,"(人・声などが) やかましい,騒々しい",/'nɔɪzi/,28739,The party next door was so noisy that I couldn't concentrate on my work.,隣のパーティーがとてもやかましくて、仕事に集中できませんでした。,3001967
,,,pant,"【動/自】あえぐ, 息を切らす / 《現在分詞の形で》強く望む / 【動/他】を喘ぎながら言う《out, forth》 / 【名/C】あえぎ, 息切れ",/pænt/,30511,"After running the marathon, he was panting heavily.",マラソンを走った後、彼は激しく喘いでいた。,3010080
,,,optional,"選択の,任意の,随意の",/ˈɑp.ʃə.nəl/,29704,An air conditioner is available as an optional extra.,エアコンは追加料金で選べます,2857
,,,outdoor,"戸外の,野外の",/ˈaʊtˌdɔr/,29941,Rugby is an outdoor game.,ラグビーは屋外競技である。,104654
,,,password,(敵味方を識別する)合い言葉(watchword),/ˈpæs.wɜːrd/,30805,What is the password to access the secret room?,秘密の部屋にアクセスするための合い言葉は何ですか？,3002534
,,,photographer,"写真をとる人,(特にプロの)写真家",/fəˈtɑːɡrəfər/,31697,The photographer captured the beautiful sunset.,写真家は美しい夕日を捉えました。,3002736
,,,postal,郵便の,/'poʊstl/,32775,I need to go to the postal office to send this package.,この荷物を送るために郵便局に行かなければなりません。,3002987
,,,poster,"ポスター,びら",/'poʊstər/,32785,I have a poster of my favorite band in my room.,部屋に自分の好きなバンドのポスターを持っている。,1623673
,,,professionally,"職業的に,専門的に",/pɹəˈfɛʃənəli/,33536,She handles every situation professionally.,彼女はどんな状況でも職業的に対処します。,3003195
,,,punctual,"時間(期限)を守る,時間どおりの",/pʌŋk.tʃu.əl/,34081,He is always punctual for meetings.,彼はいつも会議に時間通りに来る。,3003336
,,,reassure,"〈人〉に自信を取り戻させる, を安心させる",/ˌriː.əˈʃʊr/,35017,I reassured my friend that everything would be okay.,私は友達にすべてが大丈夫だと安心させました。,3003531
,,,recipient,〈C〉《...の》受取人《of ...》 / 受益者 / 受容器 / 【形】感受性のある,/rɪˈsɪpiənt/,35089,The recipient of the award was overwhelmed with joy.,受賞者は喜びに打ち震えました。,1628095
,,,repeatedly,繰り返して,/rɪˈpiːtɪdli/,35645,He repeatedly asked her to go out with him.,彼は彼女に何度もデートに行くように頼んだ。,3003738
,,,renown,"〈U〉《...で》高名, 名声《for ...》",/rɪˈnaʊn/,35606,He gained renown for his exceptional talent.,彼はその卓越した才能で高名になった。,3003716
,,,restroom,(公共施設の)手洗所,/'rɛstrum/,35867,"Excuse me, where is the restroom?",すみません、手洗所はどこですか？,3003812
,,,container,"〈C〉容器 , 入れ物 / (貨物輸送用の)コンテナ",/kənˈteɪnər/,9167,I packed my lunch in a container.,私はランチを容器に詰めました。,1630644
,,,cumulative,"しだいに増加する,累加する,累積的な",/kjuːmjələtɪv/,10378,The cumulative number of COVID-19 cases continues to rise.,新型コロナウイルスの累積感染者数は増加し続けています。,1641766
,,,satisfactory,"満足を与える,満足な,申し分のない",/sætɪsˈfæktəri/,37193,The service at the restaurant was satisfactory.,レストランのサービスは満足のいくものでした。,3004193
,,,seeker,"(…の)追求者,探求者《+for(after, of)+名》",/siːkər/,37875,She is a seeker of truth.,彼女は真実の追求者です。,1646768
,,,sewer,"【名/C】縫う人,針子",/suːər/,38306,The sewer system in the city is in need of repair.,市内の下水道システムは修理が必要です。,1629736
,,,sofa,"長いす,ソファー",/ˈsoʊfə/,39783,I love to relax on the comfortable sofa in my living room.,私はリビングルームの快適なソファでくつろぐのが大好きです。,3004773
,,,someday,"(将来の)いつか,そのうち",/sʌmˈdeɪ/,39911,"Someday, I want to travel around the world.",いつか、世界中を旅したいです。,3004812
,,,spectator,"〈C〉観客, 見物人, 傍観者",/spɛkˈteɪ.tər/,40240,The spectator watched the game with excitement.,観客は興奮しながら試合を見た。,3004965
,,,stockholder,=shareholder,/ˈstɑkhoʊldər/,41073,The stockholder meeting will be held next week.,株主総会は来週開催されます。,3005123
,,,honestly,正直に,/ˈɑnəstli/,20250,"Honestly, I don't know what to do.",正直に言って、私は何をすべきかわかりません。,2999776
,,,insufficient,不十分な,/ˌɪnsəˈfɪʃənt/,22136,The amount of food provided was insufficient for the number of guests.,提供された食べ物の量は、ゲストの数に対して不十分でした。,3000281
,,,pet,〈C〉愛玩動物 / 《単数形で》お気に入りの人(物),/pɛt/,31497,My pet is a small dog.,私のペットは小さな犬です。,1623655
,,,temporarily,"一時的に,仮に",/tɛmpəˈrɛrəli/,42801,I will temporarily stay at my friend's house until I find a new apartment.,新しいアパートを見つけるまで、一時的に友達の家に滞在します。,3005584
,,,theft,"〈U〉盗み, 窃盗罪 / 〈C〉《...を》盗むこと《of ...》",/θɛft/,43008,The theft of the valuable painting shocked the art community.,貴重な絵画の盗難は、美術界を驚かせました。,3005641
,,,translator,"(特に専門の)翻訳者,翻訳家",/trænzˈleɪtər/,44027,The translator did an excellent job translating the document.,翻訳者は文書の翻訳を素晴らしい仕事でした。,3005918
,,,vase,〈C〉花びん / (装飾用の)つぼ,/veɪz/,45894,The vase was filled with beautiful flowers.,花瓶には美しい花がいっぱい入っていました。,1623913
,,,vitamin,"ビタミン,栄養素(身体の喜常な機能を維持するために少量ながら必要な有機化合物)",/'vɪtəmɪn/,46351,I take a vitamin supplement every morning.,毎朝、ビタミンのサプリメントを摂取しています。,3006463
,,,cellphone,【名/C】携帯電話,/sɛlfəʊn/,48361,What's your cellphone number?,あなたの携帯電話の番号は？,1017019
,,,healthcare,"【名】健康管理,医療；健康保険【形】健康管理の",/hɛlθkɛər/,48370,I work in the healthcare industry.,私は医療業界で働いています。,1649702
,,,laptop,"〈C〉ラップトップ型コンピュータ,ノートパソコン",/ˈlæp.tɒp/,48372,I bought a new laptop yesterday.,私は昨日新しいノートパソコンを買いました。,3007024
,,,redesign,【動/他】を再設計する【名/U/C】再設計,/ɹiːdɪˈzaɪn/,48359,The company decided to redesign their website to improve user experience.,会社はユーザー経験を向上させるためにウェブサイトの再設計を決定しました。,1653617
,,,upcoming,"【形】近く起こる,やがて起こる；まもなく公開される",/ʌpˈkʌmɪŋ/,45556,I am excited about the upcoming concert.,私は今度のコンサートが楽しみです。,3006287
,,,contractor,"〈C〉契約人,請負人 / 建設業者 / 収縮する物, 収縮筋",/ˈkɒn.træktər/,9242,The contractor completed the construction project ahead of schedule.,請負業者は工事プロジェクトを予定よりも早く完了しました。,3009861
,,,unusually,"異常に / 一風変わって  / 《話》非常に,ひどく",/ʌnˈjuːʒuəli/,45517,She was unusually quiet today.,彼女は今日、異常に静かだった。,3006273
,,,interpreter,"〈C〉通訳,通訳者 / （音楽・劇などの）解説者 / インタープリタ",/ɪnˈtɜːprɪtər/,22334,The interpreter helped us communicate with the foreign delegates.,通訳者は私たちが外国の代表団とコミュニケーションを取るのを助けました。,3000324
,,,polite,"礼儀正しい,ていねいな；先練された,教養のある,上品な",/pəˈlaɪt/,32494,He always speaks in a polite manner.,彼はいつも礼儀正しく話します。,3002925
,,,publicize,"〈他〉を公表する / を広告する,宣伝する",/ˈpʌblɪsaɪz/,33975,The company hired a marketing agency to publicize their new product.,会社は新製品を宣伝するためにマーケティングエージェンシーを雇いました。,1645390
,,,absent,"欠席した,留守の,不在の  / (物が)欠けている,ない  / 《名詞の前にのみ用いて》放心した  / (…から)〈人〉'を'欠席させる《+名+from+名》",/ˈæbsənt/,177,John was absent from school yesterday.,ジョンは昨日、学校を欠席した。,2995635
,,,administrator,"為政者,行政官  / (遺産としての不動産の)管理者",/ədˈmɪnɪˌstreɪtər/,545,The administrator of the city has implemented new policies.,その都市の為政者は新しい政策を実施しました。,2995783
,,,sewer,"【名/C】(地下の)下水道, 下水管 /  【動/他】...に下水設備を設ける.",/suːər/,38305,The sewer system in the city is in need of repair.,市内の下水道システムは修理が必要です。,1646950
,,,advisor,"忠告者,助言者;顧問  / 《米》(大学の)新入生指導教師",/ədˈvaɪzər/,645,My advisor gave me some valuable advice for my future career.,私のアドバイザーは、私の将来のキャリアに対して貴重なアドバイスをくれました。,2995816
,,,amateur,"(専門家に対して)アマチュア,しろうと  / 愛好者,ファン  / 未熟者,未経験者  / アマチュアの,しろうとの",/ˈæmətər/,1268,"Despite being an amateur, he played the piano beautifully.",彼はアマチュアにもかかわらず、ピアノを美しく演奏した。,2996000
,,,announcer,"知らせる人,告知者  / (ラジオ・テレビの)アナウンサー",/əˈnaʊnsər/,1624,The announcer at the station informed us about the delay of the train.,駅のアナウンサーが私たちに電車の遅延を知らせました。,2996057
,,,anniversary,"(年ごとの)記念日,記念祭  / 記念日の",/ˌæn.ɪˈvɜːr.sər.i/,1618,Today is our 10th wedding anniversary.,今日は私たちの結婚10周年記念日です。,2996050
,,,annually,"毎年, 一年ごとに / 年に一回",/ˈæn.ju.ə.li/,1630,The conference takes place annually.,その会議は毎年開催される。,123703
,,,approximate,近似の　,/əˈprɑksəmət/,1987,The approximate time of arrival is around 3 pm.,到着のおおよその時間は午後3時頃です。,2996183
